"cartridge_id","cartridge_name","parent_cartridge_id","rim_type_id","cartridge_type_id","bullet_diameter","neck_diameter","shoulder_diameter","base_diameter","rim_diameter","rim_thickness","case_length","overall_length","case_capacity_gr_h2o","pressure_psi","length_to_shoulder","length_to_neck","ql_type_of_cartridge_spec","image_name","Unknown_1","Unknown_2","Unknown_3","Unknown_4","Unknown_5",,
105,".300 Winchester Magnum",148,5,1,0.308,0.339,0.489,0.532,0.532,0.049,2.62,3.34,93.8,64000,2.196,2.356,"Piezo CIP","300WINMA.jpg",0.5,47.32,430,32,,,
106,".300 Winchester Short Magnum",,3,1,0.308,0.344,0.538,0.555,0.535,,2.1,2.86,81.3,63800,,,"Piezo CIP","300WSM.jpg",0.5,47.55,440,,,,
107,".30-378 Weatherby Magnum",205,5,1,0.308,0.337,0.561,0.582,0.579,".",2.913,3.69,133,64000,,,"Piezo CIP","30-378WM.jpg",0.52,47.32,440,,,,
108,".303 British",,2,1,0.312,0.34,0.401,0.46,0.54,0.064,2.222,3.075,56.2,52000,,,"Piezo CIP","303BRIti.jpg",0.5,48.21,365,,,,
109,".303 Savage",,2,1,0.308,0.333,0.413,0.442,0.505,0.063,2.015,2.52,45,,,,"Piezo CIP","303savage.jpg",0.5,47.161,270,,,,
110,".307 Winchester",,4,1,0.308,0.3433,0.4539,0.4709,0.508,0.063,2.015,2.8,56,,,,"Piezo CIP","307WIN.jpg",0.5,47.51,415,,,,
111,".308 Marlin Express",110,4,1,0.308,0.344,0.454,0.47,0.508,0.063,1.91,2.6,51,,,,"Piezo CIP","308marli.jpg",0.5,47.51,330,,,,
112,".308x1.5 inch Barnes",37,1,1,0.308,0.344,0.46,0.471,0.473,0.054,1.5,2.83,38,60000,,,"Wildcat","308x15B.jpg",0.5,47.51,413.6,,,,
113,".308 Norma Magnum",99,5,1,0.308,0.34,0.489,0.521,0.53,0.048,2.56,3.3,86.5,55000,,,"Piezo CIP","308NORMA.jpg",0.5,47.51,440,,,,
114,".32 ACP",,4,2,0.3125,0.3365,,0.337,0.358,0.045,0.68,0.984,9.25,,,,"Piezo CIP","32AUTOMA.jpg",0.75,47.37,160,,,,
115,".32 H&R Magnum",118,2,2,0.312,0.337,,0.337,0.375,0.055,1.075,1.35,16.2,,,,"CUP CIP","32HuRMag.jpg",0.75,47.91,162,,,,
116,".32 NAA",161,1,1,0.3129,0.3365,0.3729,0.374,0.045,,0.68,0.984,10.5,25700,,,"Piezo","32 NAA.jpg",0.75,47.91,177.196,,,,
117,".32 S&W",,2,2,0.312,0.334,,0.335,0.375,0.045,0.61,0.92,5.4,,,,"Piezo CIP","32SUW.JPG",0.75,47.91,90,,,,
118,".32 S&W Long",117,2,2,0.312,0.334,,0.337,0.375,0.055,0.92,1.28,14.8,,,,"Piezo CIP","32SUWLNP.jpg",0.75,47.91,100,,,,
119,".32 Winchester Special",96,2,1,0.321,0.343,0.401,0.422,0.506,0.063,2.04,2.565,45,42000,,,"Piezo CIP","32WINSPL.JPG",0.5,51.33,305,,,,
120,".32 Remington",,1,1,0.321,0.341,0.394,0.418,0.418,,2.06,2.54,46,36000,,,"Piezo CIP","32REM.JPG",0.5,51.1,295,,,,
121,".32-20 Winchester",,2,1,0.3125,0.327,0.342,0.354,0.408,0.065,1.315,1.592,22,16000,,,"Piezo CIP","32-20WIN.jpg",0.5,48.29,210,,,,
122,".32-40 Ballard (Winchester)",,2,3,0.32,0.338,,0.424,0.506,0.063,2.13,2.59,41,,,,"Piezo CIP","32-40Win.JPG",0.5,51.26,235,,,,
123,".325 Winchester Short Magnum",106,3,1,0.323,0.35,0.538,0.555,0.535,,2.1,2.86,83,63000,,,"Piezo CIP","325wsmsa.jpg",0.5,52.17,440,,,,
124,".327 Federal Magnum",115,2,2,0.312,0.337,,0.337,0.375,0.055,1.2,1.47,,,,,,,,,,,,,
125,".333 Jeffery",166,3,1,0.333,0.359,0.496,0.54,0.538,0.05,2.48,3.48,84,46000,,,,,,,,,,,
126,".338 Federal",37,1,1,0.338,0.369,0.454,0.47,0.473,0.049,2.01,2.75,,62000,,,,,,,,,,,
127,".338 Edge",101,3,1,0.338,0.371,0.525,0.552,0.534,,2.85,3.6,,,,,,,,,,,,,
128,".338 Lapua Magnum",173,1,1,0.338,0.372,0.544,0.587,0.588,0.06,2.724,3.681,114.2,61000,,,,,,,,,,,
129,".33 Nosler",166,3,1,0.338,0.368,0.529,0.55,0.534,,2.46,3.34,,,,,,,,,,,,,
130,".338 Marlin Express",153,4,1,0.338,0.368,0.493,0.506,0.553,0.05,1.89,2.585,,,,,,,,,,,,,
131,".338 Norma Magnum",173,1,1,0.338,0.37,0.571,0.585,0.588,0.06,2.492,3.681,107.3,64000,,,,,,,,,,,
132,".338 Remington Ultra Magnum",101,3,1,0.338,0.371,0.5261,0.55,0.534,,2.76,3.6,113,65000,,,,,,,,,,,
133,".338-06",95,1,1,0.338,0.369,0.441,0.472,0.473,,2.494,3.37,,,,,,,,,,,,,
134,".338 Ruger Compact Magnum",149,1,1,0.338,0.405,0.515,0.532,0.532,0.05,2.015,2.84,72,,,,,,,,,,,,
135,".338 Winchester Magnum",148,5,1,0.338,0.369,0.491,0.513,0.532,,2.5,3.34,86,64000,,,,,,,,,,,
136,".348 Winchester",196,2,1,0.348,0.3785,0.485,0.553,0.61,0.07,2.255,2.795,,,,,,,,,,,,,
137,".35 Remington",,1,1,0.358,0.384,0.405,0.458,0.46,,1.92,2.525,,,,,,,,,,,,,
138,".35 Winchester",,2,1,0.358,0.378,0.412,0.457,0.539,,2.41,3.16,,,,,,,,,,,,,
139,".35 Whelen",95,1,1,0.358,0.385,0.441,0.472,0.473,,2.494,3.34,,,,,,,,,,,,,
